DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
2.664200E+04 	1.500000E+03 	2.600000E+01 	1.718252E+00 	2.819166E-01 
2.664300E+04 	1.500000E+03 	2.900000E+01 	1.900172E+00 	4.079324E-01 
2.671000E+04 	1.500000E+03 	3.600000E+01 	1.054817E+00 	9.534457E-01 
2.671600E+04 	1.500000E+03 	2.900000E+01 	1.557994E+00 	4.476434E-01 
2.672200E+04 	1.500000E+03 	3.100000E+01 	1.737629E+00 	4.796239E-01 
2.672400E+04 	1.500000E+03 	2.700000E+01 	1.576666E+00 	3.503601E-01 
2.674000E+04 	1.500000E+03 	3.100000E+01 	1.221955E+00 	5.579779E-01 
2.674300E+04 	1.500000E+03 	3.400000E+01 	1.153600E+00 	6.721839E-01 
2.682100E+04 	1.500000E+03 	3.500000E+01 	1.067010E+00 	8.077464E-01 
2.683500E+04 	1.500000E+03 	3.700000E+01 	7.535365E-01 	1.160507E+00 
2.684600E+04 	1.500000E+03 	2.900000E+01 	1.586481E+00 	4.336724E-01 
2.685700E+04 	1.500000E+03 	2.800000E+01 	1.556299E+00 	3.933893E-01 
2.689100E+04 	1.500000E+03 	2.100000E+01 	2.113650E+00 	1.878742E-01 
2.689900E+04 	1.500000E+03 	2.700000E+01 	1.658431E+00 	3.332130E-01 
2.690900E+04 	1.500000E+03 	2.900000E+01 	1.481418E+00 	4.327304E-01 
2.691500E+04 	1.500000E+03 	3.300000E+01 	1.324141E+00 	7.032816E-01 
2.693100E+04 	1.500000E+03 	3.700000E+01 	6.844607E-01 	1.461093E+00 
2.693800E+04 	1.500000E+03 	2.900000E+01 	1.327676E+00 	4.263225E-01 
2.694100E+04 	1.500000E+03 	3.100000E+01 	1.439437E+00 	4.455577E-01 
2.696300E+04 	1.500000E+03 	2.600000E+01 	1.781701E+00 	2.962734E-01 
2.697700E+04 	1.500000E+03 	2.700000E+01 	1.624628E+00 	3.661068E-01 
2.699200E+04 	1.500000E+03 	2.700000E+01 	1.799348E+00 	3.282340E-01 
2.699600E+04 	1.500000E+03 	2.700000E+01 	1.692512E+00 	3.526303E-01 
2.699800E+04 	1.500000E+03 	3.100000E+01 	1.750525E+00 	5.127102E-01 
2.699900E+04 	1.500000E+03 	3.200000E+01 	1.092034E+00 	6.478400E-01 
2.700600E+04 	1.500000E+03 	3.000000E+01 	1.586735E+00 	4.665258E-01 
2.700900E+04 	1.500000E+03 	3.500000E+01 	9.792814E-01 	8.168242E-01 
2.702400E+04 	1.500000E+03 	2.800000E+01 	1.630835E+00 	3.475035E-01 
2.702700E+04 	1.500000E+03 	2.800000E+01 	1.613503E+00 	4.305861E-01 
2.706900E+04 	1.500000E+03 	2.500000E+01 	1.864135E+00 	2.892148E-01 
2.708800E+04 	1.500000E+03 	2.800000E+01 	1.816092E+00 	3.900168E-01 
2.709200E+04 	1.500000E+03 	2.900000E+01 	1.488239E+00 	4.342686E-01 
2.711100E+04 	1.500000E+03 	2.700000E+01 	1.796218E+00 	3.450040E-01 
2.712000E+04 	1.500000E+03 	2.900000E+01 	2.092181E+00 	3.615472E-01 
2.712100E+04 	1.500000E+03 	3.600000E+01 	1.196795E+00 	8.584203E-01 
2.712800E+04 	1.500000E+03 	2.700000E+01 	1.537093E+00 	3.761130E-01 
2.713200E+04 	1.500000E+03 	3.000000E+01 	1.286328E+00 	4.669990E-01 
2.718700E+04 	1.500000E+03 	2.800000E+01 	1.646220E+00 	3.796439E-01 
2.720300E+04 	1.500000E+03 	2.700000E+01 	1.877238E+00 	3.301885E-01 
2.722100E+04 	1.500000E+03 	2.600000E+01 	1.757562E+00 	2.897243E-01 
2.726400E+04 	1.500000E+03 	3.500000E+01 	1.313124E+00 	7.876742E-01 
2.730000E+04 	1.500000E+03 	2.900000E+01 	1.608615E+00 	3.945320E-01 
2.732900E+04 	1.500000E+03 	3.200000E+01 	1.642517E+00 	5.352643E-01 
2.734500E+04 	1.500000E+03 	2.600000E+01 	1.721500E+00 	3.373876E-01 
2.737400E+04 	1.500000E+03 	3.100000E+01 	1.752681E+00 	4.849569E-01 
2.740100E+04 	1.500000E+03 	3.300000E+01 	1.274341E+00 	6.548122E-01 
2.741300E+04 	1.500000E+03 	3.300000E+01 	1.293004E+00 	6.189856E-01 
2.741600E+04 	1.500000E+03 	2.500000E+01 	1.972296E+00 	2.428677E-01 
2.743400E+04 	1.500000E+03 	2.600000E+01 	1.682540E+00 	3.390291E-01 
2.748400E+04 	1.500000E+03 	3.400000E+01 	1.331651E+00 	7.252935E-01 
2.753100E+04 	1.500000E+03 	2.900000E+01 	1.508430E+00 	4.184563E-01 
2.757100E+04 	1.500000E+03 	2.700000E+01 	2.279941E+00 	3.070193E-01 
2.757300E+04 	1.500000E+03 	3.300000E+01 	1.169492E+00 	6.743341E-01 
2.757400E+04 	1.500000E+03 	3.400000E+01 	1.209851E+00 	7.400115E-01 
2.758200E+04 	1.500000E+03 	3.300000E+01 	1.108186E+00 	6.408358E-01 
2.758300E+04 	1.500000E+03 	3.200000E+01 	1.297590E+00 	6.426468E-01 
2.762500E+04 	1.500000E+03 	3.400000E+01 	1.132302E+00 	7.160540E-01 
2.762700E+04 	1.500000E+03 	3.300000E+01 	1.071051E+00 	6.879402E-01 
2.774700E+04 	1.500000E+03 	2.400000E+01 	1.845762E+00 	2.440111E-01 
2.776800E+04 	1.500000E+03 	2.800000E+01 	1.789000E+00 	3.759508E-01 
2.776900E+04 	1.500000E+03 	2.800000E+01 	1.644773E+00 	3.666634E-01 
2.782600E+04 	1.500000E+03 	3.100000E+01 	1.669610E+00 	5.012145E-01 
2.786400E+04 	1.500000E+03 	2.800000E+01 	1.690958E+00 	3.667088E-01 
2.789700E+04 	1.500000E+03 	2.700000E+01 	2.035733E+00 	3.777863E-01 
2.791100E+04 	1.500000E+03 	3.400000E+01 	1.293332E+00 	6.893518E-01 
2.792300E+04 	1.500000E+03 	2.600000E+01 	1.831070E+00 	3.531233E-01 
2.793300E+04 	1.500000E+03 	3.100000E+01 	1.467315E+00 	5.175969E-01 
2.795200E+04 	1.500000E+03 	1.900000E+01 	2.673315E+00 	1.482106E-01 
2.797100E+04 	1.500000E+03 	3.300000E+01 	1.185710E+00 	6.952687E-01 
2.797800E+04 	1.500000E+03 	2.700000E+01 	1.874890E+00 	3.308597E-01 
2.798900E+04 	1.500000E+03 	3.000000E+01 	1.527364E+00 	4.807720E-01 
2.799300E+04 	1.500000E+03 	3.200000E+01 	1.550684E+00 	5.964631E-01 
2.801800E+04 	1.500000E+03 	3.600000E+01 	7.751090E-01 	1.085227E+00 
2.806000E+04 	1.500000E+03 	3.100000E+01 	1.424305E+00 	5.300734E-01 
2.808400E+04 	1.500000E+03 	3.100000E+01 	1.333803E+00 	5.775842E-01 
2.811500E+04 	1.500000E+03 	3.500000E+01 	9.290454E-01 	8.260296E-01 
2.813500E+04 	1.500000E+03 	2.400000E+01 	2.046636E+00 	2.684600E-01 
2.816400E+04 	1.500000E+03 	3.300000E+01 	1.209666E+00 	7.596878E-01 
2.818200E+04 	1.500000E+03 	3.300000E+01 	1.042776E+00 	6.431028E-01 
