x[cm]_0	X-CH_0	x[cm]_1	X-CH_1	x[cm]_2	X-CH_2
1.84729E-01	1.11033E-07	1.17300E-01	7.75161E-06	3.63552E-01	5.90520E-06
1.85465E-01	1.14819E-07	1.17769E-01	7.90263E-06	3.64347E-01	6.03248E-06
1.86201E-01	1.18728E-07	1.18237E-01	8.05602E-06	3.65141E-01	6.16166E-06
1.86937E-01	1.22762E-07	1.18706E-01	8.21182E-06	3.65935E-01	6.29294E-06
1.87672E-01	1.26924E-07	1.19174E-01	8.36995E-06	3.66729E-01	6.42634E-06
1.88400E-01	1.31177E-07	1.19641E-01	8.53011E-06	3.67523E-01	6.56187E-06
1.89115E-01	1.35485E-07	1.20106E-01	8.69217E-06	3.68317E-01	6.69952E-06
1.89824E-01	1.39887E-07	1.20571E-01	8.85647E-06	3.69109E-01	6.83906E-06
1.90532E-01	1.44425E-07	1.21035E-01	9.02327E-06	3.69899E-01	6.98035E-06
1.91241E-01	1.49103E-07	1.21500E-01	9.19260E-06	3.70688E-01	7.12362E-06
1.91950E-01	1.53925E-07	1.21965E-01	9.36449E-06	3.71477E-01	7.26909E-06
1.92658E-01	1.58894E-07	1.22429E-01	9.53897E-06	3.72265E-01	7.41677E-06
1.93367E-01	1.64016E-07	1.22894E-01	9.71605E-06	3.73054E-01	7.56669E-06
1.94076E-01	1.69294E-07	1.23359E-01	9.89575E-06	3.73843E-01	7.71886E-06
1.94785E-01	1.74733E-07	1.23822E-01	1.00778E-05	3.74631E-01	7.87313E-06
1.95493E-01	1.80338E-07	1.24284E-01	1.02618E-05	3.75417E-01	8.02935E-06
1.96202E-01	1.86114E-07	1.24746E-01	1.04482E-05	3.76203E-01	8.18768E-06
1.96911E-01	1.92064E-07	1.25207E-01	1.06374E-05	3.76988E-01	8.34830E-06
1.97615E-01	1.98158E-07	1.25668E-01	1.08292E-05	3.77773E-01	8.51124E-06
1.98310E-01	2.04344E-07	1.26129E-01	1.10239E-05	3.78559E-01	8.67650E-06
1.98997E-01	2.10643E-07	1.26591E-01	1.12214E-05	3.79344E-01	8.84411E-06
1.99682E-01	2.17110E-07	1.27052E-01	1.14217E-05	3.80129E-01	9.01401E-06
2.00367E-01	2.23764E-07	1.27513E-01	1.16248E-05	3.80913E-01	9.18611E-06
2.01052E-01	2.30610E-07	1.27974E-01	1.18305E-05	3.81697E-01	9.36050E-06
2.01738E-01	2.37654E-07	1.28433E-01	1.20385E-05	3.82481E-01	9.53726E-06
2.02423E-01	2.44900E-07	1.28891E-01	1.22489E-05	3.83265E-01	9.71643E-06
2.03108E-01	2.52354E-07	1.29349E-01	1.24622E-05	3.84049E-01	9.89802E-06
2.03794E-01	2.60020E-07	1.29808E-01	1.26785E-05	3.84833E-01	1.00820E-05
2.04479E-01	2.67904E-07	1.30266E-01	1.28978E-05	3.85616E-01	1.02685E-05
2.05164E-01	2.76012E-07	1.30724E-01	1.31201E-05	3.86400E-01	1.04574E-05
2.05850E-01	2.84347E-07	1.31182E-01	1.33455E-05	3.87183E-01	1.06486E-05
2.06532E-01	2.92884E-07	1.31640E-01	1.35739E-05	3.87966E-01	1.08424E-05
2.07207E-01	3.01557E-07	1.32098E-01	1.38052E-05	3.88750E-01	1.10387E-05
2.07875E-01	3.10362E-07	1.32554E-01	1.40390E-05	3.89533E-01	1.12374E-05
2.08539E-01	3.19366E-07	1.33009E-01	1.42753E-05	3.90316E-01	1.14387E-05
2.09204E-01	3.28607E-07	1.33464E-01	1.45146E-05	3.91099E-01	1.16425E-05
2.09869E-01	3.38090E-07	1.33919E-01	1.47571E-05	3.91883E-01	1.18489E-05
