[ms]_0	C-NO_0	C-OH_0
5.24225E-03	1.44836E-10	7.42893E-08
5.26211E-03	1.46650E-10	7.42846E-08
5.28197E-03	1.48467E-10	7.42797E-08
5.30183E-03	1.50288E-10	7.42746E-08
5.32169E-03	1.52113E-10	7.42694E-08
5.34155E-03	1.53942E-10	7.42641E-08
5.36142E-03	1.55774E-10	7.42586E-08
5.38128E-03	1.57609E-10	7.42531E-08
5.40114E-03	1.59447E-10	7.42476E-08
5.42100E-03	1.61289E-10	7.42420E-08
5.44086E-03	1.63133E-10	7.42363E-08
5.46072E-03	1.64980E-10	7.42307E-08
5.48058E-03	1.66830E-10	7.42250E-08
5.50044E-03	1.68683E-10	7.42194E-08
5.52030E-03	1.70539E-10	7.42138E-08
5.54016E-03	1.72397E-10	7.42082E-08
5.56002E-03	1.74257E-10	7.42026E-08
5.57988E-03	1.76120E-10	7.41971E-08
5.59975E-03	1.77985E-10	7.41917E-08
5.61961E-03	1.79853E-10	7.41863E-08
5.63947E-03	1.81722E-10	7.41809E-08
5.65933E-03	1.83594E-10	7.41757E-08
5.67919E-03	1.85468E-10	7.41704E-08
5.69905E-03	1.87343E-10	7.41653E-08
5.71891E-03	1.89221E-10	7.41603E-08
5.73877E-03	1.91100E-10	7.41553E-08
5.75863E-03	1.92982E-10	7.41504E-08
5.77849E-03	1.94865E-10	7.41455E-08
5.79835E-03	1.96749E-10	7.41408E-08
5.81822E-03	1.98636E-10	7.41361E-08
5.83808E-03	2.00523E-10	7.41316E-08
5.85794E-03	2.02413E-10	7.41271E-08
5.87780E-03	2.04303E-10	7.41227E-08
5.89766E-03	2.06195E-10	7.41183E-08
5.91752E-03	2.08089E-10	7.41141E-08
5.93738E-03	2.09984E-10	7.41099E-08
5.95724E-03	2.11880E-10	7.41059E-08
5.97710E-03	2.13777E-10	7.41019E-08
5.99696E-03	2.15676E-10	7.40980E-08
6.01682E-03	2.17575E-10	7.40941E-08
6.03669E-03	2.19476E-10	7.40904E-08
6.05655E-03	2.21378E-10	7.40867E-08
6.07641E-03	2.23281E-10	7.40831E-08
6.09627E-03	2.25185E-10	7.40796E-08
6.11613E-03	2.27090E-10	7.40761E-08
6.14596E-03	2.29953E-10	7.40711E-08
6.17580E-03	2.32818E-10	7.40662E-08
6.20563E-03	2.35685E-10	7.40615E-08
6.23547E-03	2.38554E-10	7.40569E-08
6.26530E-03	2.41425E-10	7.40525E-08
6.29514E-03	2.44297E-10	7.40482E-08
6.32497E-03	2.47171E-10	7.40440E-08
6.35481E-03	2.50046E-10	7.40400E-08
