x[cm]_2	X-NO_2
8.331600E-01	4.211030E+00
8.342210E-01	4.230910E+00
8.352810E-01	4.250860E+00
8.363420E-01	4.270870E+00
8.374030E-01	4.290960E+00
8.384640E-01	4.311100E+00
8.395260E-01	4.331340E+00
8.405900E-01	4.351680E+00
8.416570E-01	4.372160E+00
8.427260E-01	4.392720E+00
8.437940E-01	4.413350E+00
8.448620E-01	4.434060E+00
8.459310E-01	4.454840E+00
8.469990E-01	4.475700E+00
8.480680E-01	4.496620E+00
8.491360E-01	4.517620E+00
8.502040E-01	4.538690E+00
8.512730E-01	4.559830E+00
8.523430E-01	4.581080E+00
8.534210E-01	4.602560E+00
8.545090E-01	4.624320E+00
8.556020E-01	4.646230E+00
8.566940E-01	4.668210E+00
8.577860E-01	4.690270E+00
8.588780E-01	4.712410E+00
8.599700E-01	4.734610E+00
8.610630E-01	4.756890E+00
8.621550E-01	4.779250E+00
8.632470E-01	4.801680E+00
8.643390E-01	4.824180E+00
8.654340E-01	4.846800E+00
8.665440E-01	4.869800E+00
8.676750E-01	4.893350E+00
8.688170E-01	4.917190E+00
8.699590E-01	4.941100E+00
8.711020E-01	4.965090E+00
8.722440E-01	4.989150E+00
8.733860E-01	5.013300E+00
8.745280E-01	5.037520E+00
8.756700E-01	5.061810E+00
8.768110E-01	5.086190E+00
8.779530E-01	5.110630E+00
8.791100E-01	5.135460E+00
8.803000E-01	5.161110E+00
8.815170E-01	5.187410E+00
8.827400E-01	5.213920E+00
8.839640E-01	5.240520E+00
8.851870E-01	5.267200E+00
8.864100E-01	5.293970E+00
8.876330E-01	5.320820E+00
8.888560E-01	5.347740E+00
8.900790E-01	5.374750E+00
8.913110E-01	5.402030E+00
8.925810E-01	5.430250E+00
8.939020E-01	5.459670E+00
8.952430E-01	5.489650E+00
8.965850E-01	5.519730E+00
8.979260E-01	5.549890E+00
8.992680E-01	5.580150E+00
9.006090E-01	5.610490E+00
9.019510E-01	5.640930E+00
9.033000E-01	5.671620E+00
9.046990E-01	5.703540E+00
9.061730E-01	5.737280E+00
9.076820E-01	5.771910E+00
9.091900E-01	5.806640E+00
9.106990E-01	5.841470E+00
9.122070E-01	5.876400E+00
9.137160E-01	5.911440E+00
9.152460E-01	5.947070E+00
9.168520E-01	5.984590E+00
9.185470E-01	6.024270E+00
9.202740E-01	6.064830E+00
9.220010E-01	6.105520E+00
9.237280E-01	6.146320E+00
9.254550E-01	6.187220E+00
9.272380E-01	6.229580E+00
9.291460E-01	6.275010E+00
9.311340E-01	6.322480E+00
9.331350E-01	6.370380E+00
9.351350E-01	6.418400E+00
9.371570E-01	6.467050E+00
9.392770E-01	6.518200E+00
9.415310E-01	6.572690E+00
9.438390E-01	6.628660E+00
9.461480E-01	6.684760E+00
9.485000E-01	6.742020E+00
9.509750E-01	6.802440E+00
9.535680E-01	6.865900E+00
9.562000E-01	6.930440E+00
9.588600E-01	6.995810E+00
9.616220E-01	7.063830E+00
9.645050E-01	7.134950E+00
9.674340E-01	7.207330E+00
9.704000E-01	7.280730E+00
9.734620E-01	7.356580E+00
9.766010E-01	7.434440E+00
9.797690E-01	7.513040E+00
9.829850E-01	7.592860E+00
9.862720E-01	7.674480E+00
9.895930E-01	7.756880E+00
9.929350E-01	7.839800E+00
9.963250E-01	7.923810E+00
9.997430E-01	8.008410E+00
1.003180E+00	8.093270E+00
1.006640E+00	8.178750E+00
1.010130E+00	8.264670E+00
1.013640E+00	8.350700E+00
1.017170E+00	8.437030E+00
1.020710E+00	8.523610E+00
1.024280E+00	8.610180E+00
1.027860E+00	8.696910E+00
1.031470E+00	8.783860E+00
1.035090E+00	8.870730E+00
1.038730E+00	8.957670E+00
1.042410E+00	9.044930E+00
1.046100E+00	9.132040E+00
1.049820E+00	9.219170E+00
1.053580E+00	9.306870E+00
1.057370E+00	9.394560E+00
1.061180E+00	9.482190E+00
1.065050E+00	9.570440E+00
1.068960E+00	9.658890E+00
1.072890E+00	9.747240E+00
1.076890E+00	9.836120E+00
1.080940E+00	9.925490E+00
1.085010E+00	1.001470E+01
1.089150E+00	1.010420E+01
1.093360E+00	1.019460E+01
1.097620E+00	1.028470E+01
1.101910E+00	1.037490E+01
1.106310E+00	1.046620E+01
1.110770E+00	1.055760E+01
1.115270E+00	1.064870E+01
1.119860E+00	1.074060E+01
1.124550E+00	1.083330E+01
1.129280E+00	1.092560E+01
1.134090E+00	1.101800E+01
1.139070E+00	1.111220E+01
1.144120E+00	1.120670E+01
1.149230E+00	1.130050E+01
1.154470E+00	1.139540E+01
1.159880E+00	1.149170E+01
1.165350E+00	1.158750E+01
1.170910E+00	1.168330E+01
1.176690E+00	1.178110E+01
1.182630E+00	1.187950E+01
1.188600E+00	1.197690E+01
1.194740E+00	1.207500E+01
1.201160E+00	1.217560E+01
1.207720E+00	1.227620E+01
1.214340E+00	1.237550E+01
1.221200E+00	1.247630E+01
1.228350E+00	1.257900E+01
1.235630E+00	1.268100E+01
1.243000E+00	1.278200E+01
1.250680E+00	1.288450E+01
1.258660E+00	1.298850E+01
1.266750E+00	1.309110E+01
1.274960E+00	1.319240E+01
1.283510E+00	1.329510E+01
1.292370E+00	1.339870E+01
1.301340E+00	1.350030E+01
1.310430E+00	1.360040E+01
1.319880E+00	1.370120E+01
1.329670E+00	1.380250E+01
1.339570E+00	1.390150E+01
1.349580E+00	1.399860E+01
1.359960E+00	1.409580E+01
1.370720E+00	1.419300E+01
1.381600E+00	1.428790E+01
1.392610E+00	1.438050E+01
1.404000E+00	1.447260E+01
1.415780E+00	1.456420E+01
1.427680E+00	1.465310E+01
1.439750E+00	1.473970E+01
1.452250E+00	1.482550E+01
1.465110E+00	1.490980E+01
1.478050E+00	1.499080E+01
1.491230E+00	1.506940E+01
1.504830E+00	1.514650E+01
1.518640E+00	1.522080E+01
1.532540E+00	1.529140E+01
1.546660E+00	1.535900E+01
1.560960E+00	1.542340E+01
1.575330E+00	1.548400E+01
1.589760E+00	1.554060E+01
1.604260E+00	1.559330E+01
1.618790E+00	1.564190E+01
1.633330E+00	1.568620E+01
1.647870E+00	1.572620E+01
1.662410E+00	1.576180E+01
1.676950E+00	1.579300E+01
1.691490E+00	1.581940E+01
1.706040E+00	1.584110E+01
1.720580E+00	1.585770E+01
1.735120E+00	1.586910E+01
1.749660E+00	1.587490E+01
1.764200E+00	1.587490E+01
