x[cm]_0	X-NO_0	x[cm]_1	X-NO_1	x[cm]_2	X-NO_2
1.19850E-01	7.41604E-03	7.89042E-02	8.58364E-02	2.96359E-01	1.17229E-01
1.20832E-01	7.53151E-03	7.94606E-02	8.67359E-02	2.97349E-01	1.18537E-01
1.21814E-01	7.64825E-03	8.00116E-02	8.76320E-02	2.98337E-01	1.19858E-01
1.22795E-01	7.76628E-03	8.05545E-02	8.85202E-02	2.99326E-01	1.21191E-01
1.23777E-01	7.88561E-03	8.10939E-02	8.94077E-02	3.00315E-01	1.22534E-01
1.24759E-01	8.00625E-03	8.16333E-02	9.03003E-02	3.01295E-01	1.23879E-01
1.25741E-01	8.12821E-03	8.21726E-02	9.11981E-02	3.02259E-01	1.25213E-01
1.26723E-01	8.25151E-03	8.27120E-02	9.21011E-02	3.03215E-01	1.26548E-01
1.27704E-01	8.37616E-03	8.32514E-02	9.30093E-02	3.04171E-01	1.27894E-01
1.28670E-01	8.50012E-03	8.37907E-02	9.39228E-02	3.05128E-01	1.29253E-01
1.29602E-01	8.62097E-03	8.43281E-02	9.48380E-02	3.06084E-01	1.30622E-01
1.30514E-01	8.74042E-03	8.48593E-02	9.57482E-02	3.07039E-01	1.32002E-01
1.31423E-01	8.86080E-03	8.53849E-02	9.66537E-02	3.07986E-01	1.33382E-01
1.32332E-01	8.98239E-03	8.59086E-02	9.75611E-02	3.08920E-01	1.34755E-01
1.33242E-01	9.10521E-03	8.64323E-02	9.84735E-02	3.09849E-01	1.36131E-01
1.34151E-01	9.22926E-03	8.69560E-02	9.93911E-02	3.10778E-01	1.37519E-01
1.35061E-01	9.35457E-03	8.74798E-02	1.00314E-01	3.11707E-01	1.38918E-01
1.35970E-01	9.48114E-03	8.80035E-02	1.01242E-01	3.12636E-01	1.40329E-01
1.36880E-01	9.60898E-03	8.85272E-02	1.02175E-01	3.13564E-01	1.41749E-01
1.37789E-01	9.73811E-03	8.90480E-02	1.03108E-01	3.14484E-01	1.43170E-01
1.38699E-01	9.86853E-03	8.95623E-02	1.04035E-01	3.15394E-01	1.44586E-01
1.39608E-01	1.00003E-02	9.00728E-02	1.04959E-01	3.16300E-01	1.46007E-01
1.40518E-01	1.01333E-02	9.05827E-02	1.05888E-01	3.17205E-01	1.47437E-01
1.41427E-01	1.02677E-02	9.10927E-02	1.06822E-01	3.18111E-01	1.48877E-01
1.42337E-01	1.04034E-02	9.16026E-02	1.07761E-01	3.19016E-01	1.50327E-01
1.43233E-01	1.05384E-02	9.21126E-02	1.08706E-01	3.19921E-01	1.51786E-01
1.44101E-01	1.06705E-02	9.26225E-02	1.09655E-01	3.20820E-01	1.53245E-01
1.44954E-01	1.08016E-02	9.31321E-02	1.10609E-01	3.21709E-01	1.54698E-01
1.45806E-01	1.09337E-02	9.36384E-02	1.11562E-01	3.22594E-01	1.56154E-01
1.46659E-01	1.10672E-02	9.41393E-02	1.12509E-01	3.23479E-01	1.57620E-01
1.47512E-01	1.12018E-02	9.46378E-02	1.13458E-01	3.24364E-01	1.59095E-01
1.48364E-01	1.13378E-02	9.51363E-02	1.14411E-01	3.25249E-01	1.60580E-01
1.49217E-01	1.14749E-02	9.56348E-02	1.15369E-01	3.26134E-01	1.62074E-01
1.50069E-01	1.16134E-02	9.61333E-02	1.16333E-01	3.27014E-01	1.63571E-01
1.50922E-01	1.17531E-02	9.66318E-02	1.17302E-01	3.27885E-01	1.65061E-01
1.51775E-01	1.18942E-02	9.71303E-02	1.18275E-01	3.28752E-01	1.66553E-01
1.52627E-01	1.20365E-02	9.76281E-02	1.19253E-01	3.29618E-01	1.68054E-01
1.53480E-01	1.21802E-02	9.81228E-02	1.20230E-01	3.30484E-01	1.69565E-01
1.54332E-01	1.23252E-02	9.86139E-02	1.21204E-01	3.31351E-01	1.71086E-01
1.55185E-01	1.24715E-02	9.91037E-02	1.22181E-01	3.32217E-01	1.72616E-01
1.56026E-01	1.26173E-02	9.95934E-02	1.23164E-01	3.33080E-01	1.74150E-01
1.56845E-01	1.27604E-02	1.00083E-01	1.24151E-01	3.33936E-01	1.75680E-01
1.57652E-01	1.29027E-02	1.00573E-01	1.25144E-01	3.34786E-01	1.77210E-01
1.58458E-01	1.30461E-02	1.01063E-01	1.26141E-01	3.35636E-01	1.78748E-01
1.59265E-01	1.31907E-02	1.01552E-01	1.27144E-01	3.36486E-01	1.80296E-01
1.60071E-01	1.33366E-02	1.02041E-01	1.28151E-01	3.37335E-01	1.81853E-01
1.60877E-01	1.34838E-02	1.02528E-01	1.29157E-01	3.38185E-01	1.83419E-01
1.61684E-01	1.36322E-02	1.03012E-01	1.30164E-01	3.39033E-01	1.84992E-01
1.62490E-01	1.37819E-02	1.03495E-01	1.31174E-01	3.39874E-01	1.86563E-01
1.63296E-01	1.39330E-02	1.03978E-01	1.32190E-01	3.40711E-01	1.88134E-01
1.64102E-01	1.40853E-02	1.04461E-01	1.33210E-01	3.41546E-01	1.89711E-01
1.64909E-01	1.42390E-02	1.04944E-01	1.34236E-01	3.42380E-01	1.91297E-01
1.65715E-01	1.43939E-02	1.05428E-01	1.35267E-01	3.43215E-01	1.92892E-01
1.66521E-01	1.45503E-02	1.05911E-01	1.36302E-01	3.44050E-01	1.94497E-01
1.67322E-01	1.47068E-02	1.06393E-01	1.37340E-01	3.44884E-01	1.96109E-01
1.68107E-01	1.48617E-02	1.06874E-01	1.38378E-01	3.45714E-01	1.97724E-01
1.68880E-01	1.50152E-02	1.07352E-01	1.39416E-01	3.46538E-01	1.99336E-01
1.69648E-01	1.51692E-02	1.07830E-01	1.40456E-01	3.47360E-01	2.00953E-01
1.70415E-01	1.53244E-02	1.08308E-01	1.41501E-01	3.48181E-01	2.02580E-01
1.71183E-01	1.54809E-02	1.08785E-01	1.42549E-01	3.49003E-01	2.04215E-01
1.71951E-01	1.56387E-02	1.09263E-01	1.43602E-01	3.49825E-01	2.05860E-01
1.72719E-01	1.57977E-02	1.09741E-01	1.44659E-01	3.50646E-01	2.07515E-01
1.73487E-01	1.59581E-02	1.10219E-01	1.45720E-01	3.51466E-01	2.09173E-01
1.74255E-01	1.61197E-02	1.10696E-01	1.46784E-01	3.52279E-01	2.10830E-01
1.75023E-01	1.62827E-02	1.11171E-01	1.47848E-01	3.53090E-01	2.12491E-01
1.75791E-01	1.64470E-02	1.11645E-01	1.48911E-01	3.53900E-01	2.14160E-01
1.76559E-01	1.66126E-02	1.12118E-01	1.49978E-01	3.54711E-01	2.15838E-01
1.77327E-01	1.67796E-02	1.12591E-01	1.51049E-01	3.55522E-01	2.17526E-01
1.78090E-01	1.69468E-02	1.13064E-01	1.52124E-01	3.56332E-01	2.19224E-01
1.78839E-01	1.71124E-02	1.13536E-01	1.53203E-01	3.57141E-01	2.20927E-01
1.79578E-01	1.72768E-02	1.14009E-01	1.54286E-01	3.57946E-01	2.22632E-01
1.80314E-01	1.74420E-02	1.14482E-01	1.55373E-01	3.58748E-01	2.24340E-01
1.81050E-01	1.76084E-02	1.14955E-01	1.56463E-01	3.59550E-01	2.26056E-01
1.81785E-01	1.77761E-02	1.15426E-01	1.57554E-01	3.60351E-01	2.27780E-01
1.82521E-01	1.79451E-02	1.15895E-01	1.58645E-01	3.61152E-01	2.29514E-01
1.83257E-01	1.81154E-02	1.16363E-01	1.59739E-01	3.61954E-01	2.31258E-01
1.83993E-01	1.82870E-02	1.16832E-01	1.60837E-01	3.62754E-01	2.33010E-01
1.84729E-01	1.84599E-02	1.17300E-01	1.61939E-01	3.63552E-01	2.34765E-01
1.85465E-01	1.86342E-02	1.17769E-01	1.63045E-01	3.64347E-01	2.36523E-01
1.86201E-01	1.88098E-02	1.18237E-01	1.64155E-01	3.65141E-01	2.38289E-01
1.86937E-01	1.89868E-02	1.18706E-01	1.65270E-01	3.65935E-01	2.40063E-01
1.87672E-01	1.91650E-02	1.19174E-01	1.66388E-01	3.66729E-01	2.41848E-01
1.88400E-01	1.93428E-02	1.19641E-01	1.67507E-01	3.67523E-01	2.43642E-01
1.89115E-01	1.95187E-02	1.20106E-01	1.68627E-01	3.68317E-01	2.45445E-01
1.89824E-01	1.96944E-02	1.20571E-01	1.69749E-01	3.69109E-01	2.47253E-01
1.90532E-01	1.98713E-02	1.21035E-01	1.70875E-01	3.69899E-01	2.49066E-01
1.91241E-01	2.00496E-02	1.21500E-01	1.72005E-01	3.70688E-01	2.50886E-01
1.91950E-01	2.02292E-02	1.21965E-01	1.73140E-01	3.71477E-01	2.52716E-01
1.92658E-01	2.04101E-02	1.22429E-01	1.74278E-01	3.72265E-01	2.54555E-01
1.93367E-01	2.05923E-02	1.22894E-01	1.75421E-01	3.73054E-01	2.56403E-01
1.94076E-01	2.07758E-02	1.23359E-01	1.76568E-01	3.73843E-01	2.58262E-01
1.94785E-01	2.09607E-02	1.23822E-01	1.77717E-01	3.74631E-01	2.60128E-01
1.95493E-01	2.11470E-02	1.24284E-01	1.78866E-01	3.75417E-01	2.62000E-01
1.96202E-01	2.13346E-02	1.24746E-01	1.80017E-01	3.76203E-01	2.63880E-01
1.96911E-01	2.15236E-02	1.25207E-01	1.81173E-01	3.76988E-01	2.65769E-01
1.97615E-01	2.17129E-02	1.25668E-01	1.82333E-01	3.77773E-01	2.67668E-01
1.98310E-01	2.19008E-02	1.26129E-01	1.83496E-01	3.78559E-01	2.69577E-01
1.98997E-01	2.20880E-02	1.26591E-01	1.84665E-01	3.79344E-01	2.71495E-01
1.99682E-01	2.22760E-02	1.27052E-01	1.85837E-01	3.80129E-01	2.73423E-01
2.00367E-01	2.24654E-02	1.27513E-01	1.87013E-01	3.80913E-01	2.75359E-01
2.01052E-01	2.26561E-02	1.27974E-01	1.88192E-01	3.81697E-01	2.77303E-01
2.01738E-01	2.28482E-02	1.28433E-01	1.89372E-01	3.82481E-01	2.79257E-01
2.02423E-01	2.30416E-02	1.28891E-01	1.90553E-01	3.83265E-01	2.81222E-01
2.03108E-01	2.32364E-02	1.29349E-01	1.91738E-01	3.84049E-01	2.83196E-01
2.03794E-01	2.34325E-02	1.29808E-01	1.92928E-01	3.84833E-01	2.85180E-01
2.04479E-01	2.36300E-02	1.30266E-01	1.94122E-01	3.85616E-01	2.87174E-01
2.05164E-01	2.38289E-02	1.30724E-01	1.95319E-01	3.86400E-01	2.89178E-01
2.05850E-01	2.40292E-02	1.31182E-01	1.96522E-01	3.87183E-01	2.91191E-01
2.06532E-01	2.42302E-02	1.31640E-01	1.97728E-01	3.87966E-01	2.93215E-01
2.07207E-01	2.44303E-02	1.32098E-01	1.98938E-01	3.88750E-01	2.95248E-01
2.07875E-01	2.46294E-02	1.32554E-01	2.00148E-01	3.89533E-01	2.97292E-01
2.08539E-01	2.48291E-02	1.33009E-01	2.01359E-01	3.90316E-01	2.99346E-01
2.09204E-01	2.50301E-02	1.33464E-01	2.02574E-01	3.91099E-01	3.01411E-01
2.09869E-01	2.52325E-02	1.33919E-01	2.03794E-01	3.91883E-01	3.03485E-01
2.10534E-01	2.54363E-02	1.34374E-01	2.05017E-01	3.92666E-01	3.05571E-01
2.11198E-01	2.56414E-02	1.34829E-01	2.06245E-01	3.93449E-01	3.07666E-01
2.11863E-01	2.58477E-02	1.35284E-01	2.07477E-01	3.94232E-01	3.09772E-01
2.12528E-01	2.60552E-02	1.35739E-01	2.08713E-01	3.95016E-01	3.11889E-01
2.13193E-01	2.62640E-02	1.36193E-01	2.09953E-01	3.95799E-01	3.14016E-01
2.13857E-01	2.64741E-02	1.36647E-01	2.11194E-01	3.96582E-01	3.16154E-01
2.14522E-01	2.66854E-02	1.37099E-01	2.12436E-01	3.97366E-01	3.18302E-01
2.15186E-01	2.68976E-02	1.37551E-01	2.13681E-01	3.98149E-01	3.20461E-01
2.15843E-01	2.71091E-02	1.38003E-01	2.14930E-01	3.98933E-01	3.22632E-01
2.16493E-01	2.73194E-02	1.38455E-01	2.16184E-01	3.99716E-01	3.24813E-01
2.17139E-01	2.75298E-02	1.38906E-01	2.17441E-01	4.00499E-01	3.27004E-01
2.17786E-01	2.77414E-02	1.39358E-01	2.18703E-01	4.01283E-01	3.29207E-01
2.18432E-01	2.79543E-02	1.39810E-01	2.19970E-01	4.02067E-01	3.31420E-01
2.19079E-01	2.81684E-02	1.40262E-01	2.21240E-01	4.02850E-01	3.33646E-01
2.19725E-01	2.83837E-02	1.40713E-01	2.22513E-01	4.03634E-01	3.35882E-01
2.20371E-01	2.86003E-02	1.41162E-01	2.23786E-01	4.04418E-01	3.38130E-01
2.21018E-01	2.88181E-02	1.41612E-01	2.25062E-01	4.05202E-01	3.40389E-01
2.21664E-01	2.90372E-02	1.42061E-01	2.26342E-01	4.05987E-01	3.42659E-01
2.22311E-01	2.92575E-02	1.42510E-01	2.27626E-01	4.06771E-01	3.44940E-01
2.22957E-01	2.94791E-02	1.42959E-01	2.28915E-01	4.07555E-01	3.47233E-01
2.23603E-01	2.97019E-02	1.43408E-01	2.30208E-01	4.08340E-01	3.49539E-01
