
read in file:  ITV_mech_withExtra.chthermo
             species    #C    #H    #O    #N
          C7POOH25X4     7    15     4     0
          C7POOH14X3     7    15     4     0
         C7H131X4OOH     7    14     2     0
         C7H132X5OOH     7    14     2     0
         C7H133X6OOH     7    14     2     0
         C7H133X1OOH     7    14     2     0
          C7O24X1OOH     7    14     3     0
          C7O46X1OOH     7    14     3     0
          C7O35X1OOH     7    14     3     0
          C7O57X1OOH     7    14     3     0
          C7O35X2OOH     7    14     3     0
          C7O57X2OOH     7    14     3     0
          C7O46X2OOH     7    14     3     0
          C7O46X3OOH     7    14     3     0
         CH2CH2COCH3     4     7     1     0
         C3H6COCH3X1     5     9     1     0
         NXC4H9COCH2     6    11     1     0
           C2H5COCH2     4     7     1     0
         C2H5COC2H4P     5     9     1     0
        C3H6COC2H5X1     6    11     1     0
         NXC3H7COCH2     5     9     1     0
           C2H3COCH3     4     6     1     0
          C2H5COC2H3     5     8     1     0
            NXC4H9CO     5     9     1     0
            NXC3H7CO     4     7     1     0
            C2H5CHCO     4     6     1     0
           NXC3H7CHO     4     8     1     0
           NXC4H9CHO     5    10     1     0
             C6H13X1     6    13     0     0
             C6H12X1     6    12     0     0
            C6H111X3     6    11     0     0
             C5H11X1     5    11     0     0
             C5H11X2     5    11     0     0
             C5H10X1     5    10     0     0
             C5H10X2     5    10     0     0
             C5H91X1     5     9     0     0
             C5H91X3     5     9     0     0
             C5H91X4     5     9     0     0
             C5H91X5     5     9     0     0
             C5H92X5     5     9     0     0
             C5H81X3     5     8     0     0
            C5H11OX1     5    11     1     0
            C5H9O1X3     5     9     1     0
           C5H11O2X1     5    11     2     0
               C4H10     4    10     0     0
              PXC4H9     4     9     0     0
              SXC4H9     4     9     0     0
              C4H8X2     4     8     0     0
             C4H71X1     4     7     0     0
             C4H71X2     4     7     0     0
             C4H71X4     4     7     0     0
               C4H7O     4     7     1     0
             PXC4H9O     4     9     1     0
            PXC4H8OH     4     9     1     0
            PXC4H9O2     4     9     2     0
          C4H8OOH1X3     4     9     2     0
        C4H8OOH1X3O2     4     9     4     0
            C4H8O1X3     4     8     1     0
            NC4KET13     4     8     3     0
            NXC3H7O2     3     7     2     0
             C4H7CHO     5     8     1     0
          C3H6OOH1X2     3     7     2     0
             C3KET13     3     6     3     0
        C3H6OOH1X3O2     3     7     4     0
          C3H6OOH1X3     3     7     2     0
           C3H6CHOX1     4     7     1     0
           C3H6CHOX2     4     7     1     0
               C4H72     4     7     0     0
         NXC3H7COCH3     5    10     1     0
           C2H5COCH3     4     8     1     0
          CH3COCH2O2     3     5     3     0
           CH3COCHOH     3     5     2     0
           C3H6CHOX3     4     7     1     0
             C4H63D1     4     7     1     0
             IXC8H18     8    18     0     0
             AXC8H17     8    17     0     0
             BXC8H17     8    17     0     0
             CXC8H17     8    17     0     0
             DXC8H17     8    17     0     0
             IXC8H16     8    16     0     0
             JXC8H16     8    16     0     0
             IXC8H15     8    15     0     0
           AXC8H17O2     8    17     2     0
           BXC8H17O2     8    17     2     0
           CXC8H17O2     8    17     2     0
           DXC8H17O2     8    17     2     0
            AXC8H17O     8    17     1     0
            DXC8H17O     8    17     1     0
            CXC8H17O     8    17     1     0
            BXC8H17O     8    17     1     0
         CC8H16OOHXD     8    17     2     0
         CC8H16OOHXB     8    17     2     0
         BC8H16OOHXA     8    17     2     0
         BC8H16OOHXD     8    17     2     0
         DC8H16OOHXD     8    17     2     0
         AC8H16OOHXA     8    17     2     0
         AC8H16OOHXB     8    17     2     0
         DC8H16OOHXB     8    17     2     0
         CC8H16OOHXA     8    17     2     0
         AC8H16OOHXD     8    17     2     0
         DC8H16OOHXA     8    17     2     0
         BC8H16OOHXC     8    17     2     0
         DC8H16OOHXC     8    17     2     0
         AC8H16OOHXC     8    17     2     0
          CXC8H17O2H     8    18     2     0
          AXC8H17O2H     8    18     2     0
          BXC8H17O2H     8    18     2     0
          DXC8H17O2H     8    18     2     0
           IC8ETERBC     8    16     1     0
           IC8ETERCD     8    16     1     0
           IC8ETERAA     8    16     1     0
           IC8ETERAB     8    16     1     0
           IC8ETERBD     8    16     1     0
           IC8ETERDD     8    16     1     0
           IC8ETERAC     8    16     1     0
           IC8ETERAD     8    16     1     0
       BC8H16OOHXDO2     8    17     4     0
       AC8H16OOHXAO2     8    17     4     0
       AC8H16OOHXDO2     8    17     4     0
       CC8H16OOHXAO2     8    17     4     0
       DC8H16OOHXAO2     8    17     4     0
       DC8H16OOHXDO2     8    17     4     0
       BC8H16OOHXAO2     8    17     4     0
       DC8H16OOHXBO2     8    17     4     0
       AC8H16OOHXBO2     8    17     4     0
       AC8H16OOHXCO2     8    17     4     0
            IC8KETAB     8    16     3     0
           TXC3H6CHO     4     7     1     0
            IC8KETDB     8    16     3     0
            IC8KETBA     8    16     3     0
            IC8KETBD     8    16     3     0
        TC4H9COC2H4S     7    13     1     0
            IC8KETAA     8    16     3     0
            IC8KETDD     8    16     3     0
            IC8KETAC     8    16     3     0
       AC8H15GOOHGAB     8    17     4     0
       AC8H15GOOHGAC     8    17     4     0
       DC8H15GOOHGBD     8    17     4     0
       AC8H15GOOHGBD     8    17     4     0
       AC8H15GOOHGAD     8    17     4     0
       BC8H15GOOHGAA     8    17     4     0
       BC8H15GOOHGAD     8    17     4     0
       BC8H15GOOHGDD     8    17     4     0
       BC8H15GOOHGAC     8    17     4     0
         CGOOHGETRAA     8    16     3     0
         AGOOHGETRAD     8    16     3     0
         DGOOHGETRAA     8    16     3     0
         DGOOHGETRBD     8    16     3     0
         BGOOHGETRAD     8    16     3     0
         DGOOHGETRAB     8    16     3     0
         BGOOHGETRDD     8    16     3     0
         BGOOHGETRAA     8    16     3     0
         AGOOHGETRAB     8    16     3     0
       DC8H15GOOHGAB     8    17     4     0
         AGOOHGETRBD     8    16     3     0
       DC8H15GOOHGAD     8    17     4     0
         DGOOHGETRAD     8    16     3     0
         AGOOHGETRAC     8    16     3     0
         AGOOHGETRBC     8    16     3     0
             XC8OOHA     8    16     2     0
       IC3H7COC3H6XT     7    13     1     0
         DC6H12CHOXD     7    13     1     0
          HXC6H12CHO     7    13     1     0
           TXC4H8CHO     5     9     1     0
           IXC3H5CHO     4     6     1     0
            IXC3H7CO     4     7     1     0
            TXC4H9CO     5     9     1     0
            PC7H13XO     7    13     0     0
           IXC3H6CHO     4     7     1     0
            IXC3H6CO     4     6     1     0
           YC7H13XY2     7    13     0     0
             PXC7H15     7    15     0     0
             YXC7H15     7    15     0     0
             OXC7H14     7    14     0     0
             YXC7H14     7    14     0     0
             XXC7H14     7    14     0     0
             PXC7H14     7    14     0     0
           NEOXC5H11     5    11     0     0
              IXC4H9     4     9     0     0
              TXC4H9     4     9     0     0
              IXC4H8     4     8     0     0
            IXC4H6OH     4     7     1     0
            IXC4H7OH     4     8     1     0
           IXC3H7CHO     4     8     1     0
           TXC4H9CHO     5    10     1     0
             IXC3H7O     3     7     1     0
            IC4H7XI1     4     7     0     0
          C4H8OHX1O2     4     9     3     0
              IXC4H7     4     7     0     0
             IXC4H7O     4     7     1     0
            CC6H11XB     6    11     0     0
          TC4H8O2HXI     4     9     2     0
           NEOXC6H11     6    11     0     0
           IXC4H7OOH     4     8     2     0
          IC4H8O2HXT     4     9     2     0
        NEOXC5H10OOH     5    11     2     0
            IXC3H7O2     3     7     2     0
          C3H6OOH2X1     3     7     2     0
        C3H6OOH2X1O2     3     7     4     0
             IXC4H10     4    10     0     0
            IXC4H9O2     4     9     2     0
          IC4H8O2HXI     4     9     2     0
             IXC4H8O     4     8     1     0
        IC4H8OOHXIO2     4     9     4     0
            IC4KETII     4     8     3     0
             IXC4H9O     4     9     1     0
              CH3CO2     2     3     2     0
             TXC4H9O     4     9     1     0
           IXC4H9O2H     4    10     2     0
            TXC4H9O2     4     9     2     0
           TXC4H9O2H     4    10     2     0
           O2C4H8CHO     5     9     3     0
           O2HC4H8CO     5     9     3     0
            IXC3H5CO     4     5     1     0
          YC7H13OXY2     7    13     1     0
           PC7H13OXO     7    13     1     0
           CC6H11OXB     6    11     1     0
         IXC4H7XI1OO     4     7     2     0
           IXC4H7OX1     4     7     1     0
           SC4H7OHXI     4     8     1     0
          SC4H7OHXIP     4     7     1     0
            SC4H7OXI     4     7     2     0
          SC4H7OOHXI     4     8     3     0
         IXC4H8OHXIT     4     9     1     0
         IXC4H8OHXTI     4     9     1     0
         OVCC(VC)COJ     4     5     2     0
        OVCC(VC)COOH     4     6     3     0
              IC4YAA     4     4     2     0
              IC4YAA     4     3     2     0
            IC3H4CHO     4     5     1     0
          IC4H6OOHXI     4     7     2     0
         IXC4H6Q2XII     4     8     4     0
               IC4QA     4     7     3     0
            IXC4H7O2     4     7     2     0
            CVCYCCOC     4     6     1     0
             C5H4CH2     6     6     0     0
                 A1X     6     5     0     0
              A1CHCH     8     7     0     0
              A1C2H3     8     8     0     0
               A1C2H     8     6     0     0
              A1C2H3     8     7     0     0
                A2XA    10     7     0     0
                  A2    10     8     0     0
                A2XB    10     7     0     0
                C5H6     5     6     0     0
                C5H5     5     5     0     0
             TXC5H5O     5     5     1     0
               C5H4O     5     4     1     0
                C9H8     9     8     0     0
                C9H7     9     7     0     0
               A1CH2     7     7     0     0
               C9H6O     9     6     1     0
              OXC6H4     6     4     0     0
               A1CH3     7     8     0     0
                A1OH     6     6     1     0
             HOA1CH3     7     8     1     0
              OA1CH3     7     7     1     0
              A1CH2O     7     7     1     0
             A1CH2OH     7     8     1     0
               A1CHO     7     6     1     0
                 A1O     6     5     1     0
               A1CH3     7     7     0     0
            A1CH2CH2     8     9     0     0
              A1C2H5     8    10     0     0
              C8H9O2     8     9     2     0
             C8H8OOH     8     9     2     0
            OC8H7OOH     8     8     3     0
            A1CH3CH3     8    10     0     0
            A1CH3CH2     8     9     0     0
            A1CH3CHO     8     8     1     0
               A2CH3    11    10     0     0
            A1CHOCH2     8     7     1     0
            A1CHOCHO     8     6     2     0
                A2OH    10     8     1     0
               A2CH2    11     9     0     0
              A2CH2O    11     9     1     0
               A2CHO    11     8     1     0
                 A2O    10     7     1     0
              OC6H4O     6     4     2     0
                A1CO     7     5     1     0
             A1CHCH3     8     9     0     0
              A1CCH2     8     7     0     0
             C5H5OOH     5     6     2     0
          CTCCCVCCVC     7     8     0     0
              C9H7OH     9     8     1     0
              C9H7OH     9     8     1     0
              C9H6OH     9     7     1     0
             TXC9H7O     9     7     1     0
                C4H6     4     6     0     0
              C4H612     4     6     0     0
                C4H6     4     6     0     0
                C4H5     4     5     0     0
                C4H5     4     5     0     0
                C4H5     4     5     0     0
                C4H5     4     5     0     0
             PC2H4OH     2     5     1     0
            AC4H7OOH     4     8     2     0
             NC4H5O2     4     5     2     0
          CH2CHCHCHO     4     5     1     0
            SC3H5CHO     4     6     1     0
             SC3H5CO     4     5     1     0
             CYCCCOO     4     5     2     0
              CYCOOC     4     5     2     0
              C4H512     4     5     2     0
              C4H513     4     5     2     0
            CH2CYCOO     4     5     2     0
          C2H3COOCH2     4     5     2     0
          C3H3CH2OOH     4     6     2     0
            C3H3CH2O     4     5     1     0
             C3H3CHO     4     4     1     0
            O2CH2CHO     2     3     3     0
            HO2CH2CO     2     3     3     0
            CVCCJCVC     5     7     0     0
            HOCVCCVO     3     4     2     0
           HOCVCCJVO     3     3     2     0
            C#CCVCCJ     5     5     0     0
          CVCCJCVCOH     5     7     1     0
           CVCCVCCOH     5     8     1     0
                C5H6     5     6     0     0
               C5H3O     5     3     1     0
          CJVCCVCCVO     5     5     1     0
          CVCCVCCJVO     5     5     1     0
         CVCC(OJ)CVC     5     7     1     0
         CVCC(OO)CVC     5     8     2     0
             CJVCCVO     3     3     1     0
           CVCCVCCOJ     5     7     1     0
           CVCCVCCOO     5     8     2     0
           CVCCVCCVO     5     6     1     0
              CYC5H8     5     8     0     0
              C5H5OH     5     6     1     0
              C5H4OH     5     5     1     0
                C5H7     5     7     0     0
                C5H7     5     7     0     0
             C5H5CH3     6     8     0     0
             C5H5CH2     6     7     0     0
             C5H4CH3     6     7     0     0
               CPND2     5     5     1     0
              C5H5OH     5     6     1     0
              C5H5OH     5     6     1     0
             C5H5CH3     6     8     0     0
             C5H5CH3     6     8     0     0
             C5H5CH2     6     7     0     0
             C5H5CH2     6     7     0     0
                C6H7     6     7     0     0
                C7H6     7     6     0     0
                C7H5     7     5     0     0
             A1CH2OO     7     7     2     0
              BZCOOH     7     8     2     0
           OXO2A1CH3     7     7     2     0
            OC6H4CH2     7     6     1     0
              A1CHOH     7     7     1     0
              A1C2H5     8     9     0     0
             OA1C2H5     8     9     1     0
           A1C2H5CH3     9    12     0     0
